speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C001M1_1LG,(S01C001M1_1LG-words),96,klas,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,mooi,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,,D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,tal,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,alas,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,koe,kl,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,arm,mi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,mo,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(haar),ke,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,groei,haar,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,haarm,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,haar,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,hoe,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,hori,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,strand,ori,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,gloi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,oi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,ah,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,saram,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,bin,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,bed*(ben),ar,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,eerst,rst,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,er,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,zit,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,voor,voor,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,,daar,I
S01C001M1_1LG,(S01C001M1_1LG-words),96,draai*(daar),val,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,sjaal,tal,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*(zal),schel,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*t,uh,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,herfst,ur,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,feest,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,feest,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,duur,duur,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,,schaar,I
S01C001M1_1LG,(S01C001M1_1LG-words),96,straat*(schaar),lem,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,leeuw,u,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*,nee,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,*x,ko,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,clown,ja,S
