id,prompt,reference,hypothesis,prompts_plus_orth,prompts_plus_hypo
S01C002V12LG,water,water,watter,0,1
S01C002V12LG,mevrouw,mevrouw,mevrouw,0,0
S01C002V12LG,drogen,dronken,gonken,1,1
S01C002V12LG,winkel,winkel,winkel,0,0
S01C002V12LG,auto,auto,[SKIPPED],0,1
S01C002V12LG,schouder,schouders,erschouders,1,1
S01C002V12LG,verhaal,verhaal,verhaal,0,0
S01C002V12LG,koning,koning,koning,0,0
S01C002V12LG,moeilijk,moeilijk,o,0,1
S01C002V12LG,speelplaats,speelplaats,speelplaats,0,0
S01C002V12LG,drinken,drinken,drinken,0,0
S01C002V12LG,hoofdpijn,hoofdpijn,[SKIPPED],0,1
S01C002V12LG,regen,regen,gigen,0,1
S01C002V12LG,vliegtuig,vliegtuig,vliegtuig,0,0
S01C002V12LG,stoppen,stoppen,stoppen,0,0
S01C002V12LG,opnieuw,opnieuw,opnieuw,0,0
S01C002V12LG,gooien,gooien,goeien,0,1
S01C002V12LG,schreeuwen,sneeuwen,sneeuwen,1,1
S01C002V12LG,moeder,moeder,moeder,0,0
S01C002V12LG,liedje,liedje,[SKIPPED],0,1
S01C002V12LG,potlood,potlood,pooloot,0,1
S01C002V12LG,fietsbel,fietsbel,potloot,0,1
S01C002V12LG,vinger,vinger,fiets,0,1
S01C002V12LG,dichtbij,dichtbij,dichtbij,0,0
S01C002V12LG,meisje,meisje,[SKIPPED],0,1
S01C002V12LG,chauffeur,chauffeur,erganfer,0,1
S01C002V12LG,muziek,muziek,muziek,0,0
S01C002V12LG,waarom,waarom,waarom,0,0
S01C002V12LG,scheuren,scheuren,suven,0,1
S01C002V12LG,lawaai,lawaai,lawai,0,1
S01C002V12LG,zwemmen,zwemmen,jammen,0,1
S01C002V12LG,vuurwerk,vuurwerk,vuurwerk,0,0
S01C002V12LG,appel,appel,appel,0,0
S01C002V12LG,cola,cola,sola,0,1
S01C002V12LG,kussen,kussen,kichen,0,1
S01C002V12LG,eerste,eerste,eerste,0,0
S01C002V12LG,circus,circus,[SKIPPED],0,1
S01C002V12LG,kleuren,kleuren,kleuren,0,0
S01C002V12LG,voetbal,voetbal,voetbal,0,0
S01C002V12LG,vlinder,vlinder,vlendur,0,1
