speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C001M1_1LG,(S01C001M1_1LG-words),96,klas,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,mooi,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,koe,kl,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,arm,mi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,haar,haar,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,groei,haar,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,strand,ori,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,ben,ar,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,eerst,rst,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,voor,voor,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,daar,daar,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,sjaal,tal,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,zal,schel,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,herfst,ur,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,duur,duur,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,schaar,schaar,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,leeuw,u,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,clown,ja,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,hoek,hoek,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,kraan,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,hout,hout,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,vriend,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,friet,vi,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,gauw,vrit,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,chips,ka,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,groen,ho,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,feest,feest,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,reis,gijs,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,jas,hag,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,huis,uh,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,paard,had,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,vijf,vijf,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,muts,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,nieuw,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,kind,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*t,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,bang,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,*x,[SKIPPED],D
S01C001M1_1LG,(S01C001M1_1LG-words),96,oog,ki,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,zat,zat,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,schoen,zat,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,plas,goern,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,neus,pals,S
S01C001M1_1LG,(S01C001M1_1LG-words),96,knop,knop,C
S01C001M1_1LG,(S01C001M1_1LG-words),96,plak,piak,S
