id,prompt,reference,hypothesis,hypothesis_rev,prompts_plus_orth,prompts_plus_hypo,prompt_aligned,prompt_aligned_rev,score,insertions,deletions,substitutions,score_rev,insertions_rev,deletions_rev,substitutions_rev
S01C002V1_1LG,klas,CORRECTLY_READ,klas,klas,0,0,klas,klas,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,mooi,CORRECTLY_READ,m*o*,mo**,0,0,mooi,mooi,0.5,0,2,0,0.5,0,2,0
S01C002V1_1LG,koe,CORRECTLY_READ,hoe,hoe,0,0,koe,koe,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,arm,CORRECTLY_READ,arm,arm,0,0,arm,arm,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,groei,CORRECTLY_READ,schoei,schoei,0,0,gr*oei,*groei,0.83,1,0,0,0.83,1,0,0
S01C002V1_1LG,strand,CORRECTLY_READ,sgrant,sgrant,0,0,strand,strand,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,bed,CORRECTLY_READ,met,met,0,0,bed,bed,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,eerst,CORRECTLY_READ,eerst,eerst,0,0,eerst,eerst,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,voor,CORRECTLY_READ,voor,voor,0,0,voor,voor,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,draai,CORRECTLY_READ,*g*ai,g*a*i,0,0,draai,draai,0.6,0,2,0,0.6,0,2,0
S01C002V1_1LG,sjaal,CORRECTLY_READ,sa ja schal,sa ja schal,0,0,s**ja****al,s**ja****al,0.45,6,0,0,0.45,6,0,0
S01C002V1_1LG,herfst,CORRECTLY_READ,**r*ust,ru**st de,0,0,herf*st,herfst***,0.43,1,3,0,0.44,3,2,0
S01C002V1_1LG,duur,CORRECTLY_READ,de duur,duur,0,0,d***uur,duur,0.57,3,0,0,1.0,0,0,0
S01C002V1_1LG,straat,e/1,st*aart,st*aart,1,0,straa*t,straa*t,0.71,1,1,0,0.71,1,1,0
S01C002V1_1LG,leeuw,CORRECTLY_READ,leeuw,leeuw,0,0,leeuw,leeuw,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,clown,CORRECTLY_READ,**o*n,**o*n,0,1,clown,clown,0.4,0,3,0,0.4,0,3,0
S01C002V1_1LG,hoek,CORRECTLY_READ,hook,hook,0,0,hoek,hoek,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,krant,CORRECTLY_READ,k*ant,k*ant,0,0,krant,krant,0.8,0,1,0,0.8,0,1,0
S01C002V1_1LG,hout,CORRECTLY_READ,h*alt,hal*t,0,0,hou*t,ho*ut,0.6,1,1,0,0.6,1,1,0
S01C002V1_1LG,vriend,g/23,vr*end,vr*end vreem,1,0,vriend,vriend******,0.83,0,1,0,0.42,6,1,0
S01C002V1_1LG,gauw,CORRECTLY_READ,vreem gou gree,gou gree,0,0,******gau*w***,gau**w**,0.29,10,0,0,0.5,4,0,0
S01C002V1_1LG,chips,c/g/35,sha ip*,sha ip sc,1,0,ch**ips,ch**ip*s*,0.57,2,1,0,0.56,4,0,0
S01C002V1_1LG,groen,CORRECTLY_READ,schroen,*hroen,0,0,g**roen,groen,0.71,2,0,0,0.8,0,1,0
S01C002V1_1LG,feest,CORRECTLY_READ,v*eft,ve*ft,0,0,feest,feest,0.8,0,1,0,0.8,0,1,0
S01C002V1_1LG,reis,CORRECTLY_READ,hiijs,hiijs,0,0,rei*s,rei*s,0.8,1,0,0,0.8,1,0,0
S01C002V1_1LG,jas,CORRECTLY_READ,jas,jas,0,0,jas,jas,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,huis,CORRECTLY_READ,v*ijs,v*ijs,0,0,hui*s,hui*s,0.6,1,1,0,0.6,1,1,0
S01C002V1_1LG,paard,CORRECTLY_READ,v*art,va*rt,0,0,paard,paard,0.8,0,1,0,0.8,0,1,0
S01C002V1_1LG,vijf,CORRECTLY_READ,vijf,vijf,0,0,vijf,vijf,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,muts,CORRECTLY_READ,mut*,mut*,0,0,muts,muts,0.75,0,1,0,0.75,0,1,0
S01C002V1_1LG,nieuw,CORRECTLY_READ,ni**w,ni**w,0,0,nieuw,nieuw,0.6,0,2,0,0.6,0,2,0
S01C002V1_1LG,kind,CORRECTLY_READ,kint,kint,0,0,kind,kind,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,bang,CORRECTLY_READ,ma*l,mal*,0,0,bang,bang,0.75,0,1,0,0.75,0,1,0
S01C002V1_1LG,oog,CORRECTLY_READ,oor,oor,0,0,oog,oog,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,zacht,g/14/35,ja** ja,ja ja**,1,0,zach*t*,za*c*ht,0.43,2,2,0,0.43,2,2,0
S01C002V1_1LG,schoen,CORRECTLY_READ,schoen,schoen,0,0,schoen,schoen,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,plas,CORRECTLY_READ,plas,plas,0,0,plas,plas,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,neus,CORRECTLY_READ,n*ug,n*ug,0,0,neus,neus,0.75,0,1,0,0.75,0,1,0
S01C002V1_1LG,knoop,CORRECTLY_READ,knoop,knoop,0,0,knoop,knoop,1.0,0,0,0,1.0,0,0,0
S01C002V1_1LG,plank,CORRECTLY_READ,p*ia**,pi*a**,0,1,pl*ank,p*lank,0.33,1,3,0,0.33,1,3,0
S01C002V1_3+4LG,omdraaien,CORRECTLY_READ,omdraaien,omdraaien poa penwagen,0,0,omdraaien,omdraai*************en,1.0,0,0,0,0.41,13,0,0
S01C002V1_3+4LG,poppenwagen,CORRECTLY_READ,poa penwagen poppenwagen,poppenwagen,0,0,po**p********p***enwagen,poppenwagen,0.46,13,0,0,1.0,0,0,0
S01C002V1_3+4LG,konijnenhok,28,konij*enhoe hoek,konijenhoe *hoek koni,1,0,konijnenho*****k,konij*n**e*nho***k***,0.62,5,1,0,0.48,10,1,0
S01C002V1_3+4LG,elastiekje,CORRECTLY_READ,koni e as kije en lastkje,e *as kije en lastkje,0,0,*el****as*ti*e********kje,e*las*ti***e******kje,0.4,15,0,0,0.43,11,1,0
S01C002V1_3+4LG,ruziemaken,CORRECTLY_READ,ruzie maken,ruzie maken,0,0,ruzie*maken,ruzie*maken,0.91,1,0,0,0.91,1,0,0
S01C002V1_3+4LG,teddybeer,CORRECTLY_READ,rui maken eet er,rui maken eet er te,0,0,te**d*dyb*ee***r,t*e*d*dyb**e**er***,0.56,7,0,0,0.47,10,0,0
S01C002V1_3+4LG,dierentuin,CORRECTLY_READ,te di ber vr en tuin,di ber vr en tuin,0,0,***di**er****en*tuin,di**e***r*en*tuin,0.5,10,0,0,0.59,7,0,0
S01C002V1_3+4LG,paddenstoelen,29,dien a dat watdan stoelde toelen,dien a dat watdan stoelde toelen topertje,1,0,p****a*d******den*stoel*e******n,***p*a*d******den*s*******toelen*********,0.41,19,0,0,0.32,28,0,0
S01C002V1_3+4LG,verstoppetje,CORRECTLY_READ,topertje versto*p*tje,verstop**tje,0,0,*********verstoppetje,verstoppetje,0.48,9,2,0,0.83,0,2,0
S01C002V1_3+4LG,wasmachine,28,wasme sin as mcnen s fototoestel,wasme sin as mcnen s fototoestel,1,1,wasm******a***chin*********e****,wasm******a***chin************e*,0.31,22,0,0,0.31,22,0,0
S01C002V1_3+4LG,fototoestel,CORRECTLY_READ,fototoestel,fototoestel,0,0,fototoestel,fototoestel,1.0,0,0,0,1.0,0,0,0
S01C002V1_3+4LG,toiletpapier,g/6/23,hoi don papier,hoi don papier,1,0,toi*let*papier,toi*let*papier,0.86,2,0,0,0.86,2,0,0
S01C002V1_3+4LG,vrachtwagen,CORRECTLY_READ,ver ach*dagen,ver achd*agen,0,0,v*r*achtwagen,v*r*achtwagen,0.77,2,1,0,0.77,2,1,0
S01C002V1_3+4LG,buurmannen,CORRECTLY_READ,v**rachtwagen ameen,vrach*twagen ameen vo,0,0,buur*m***an*n***e*n,*bu**urma**n**n*en***,0.42,9,2,0,0.43,11,1,0
S01C002V1_3+4LG,vogelkooi,CORRECTLY_READ,vo vv oi vor coi ohh liefand,vv oi vor coi ohh liefand,0,1,vo*g**e**l*k**o**o****i*****,*v*o**gel*ko**o****i*****,0.32,19,0,0,0.36,16,0,0
S01C002V1_3+4LG,olifant,CORRECTLY_READ,olifand,olifand onren,0,0,olifant,olifa****n**t,1.0,0,0,0,0.54,6,0,0
S01C002V1_3+4LG,schommelen,CORRECTLY_READ,onren scho*nelen,schon*elen,0,0,******schommelen,schommelen,0.56,6,1,0,0.9,0,1,0
S01C002V1_3+4LG,iedereen,e/j,dien dir*en,dien diren schoenen,1,0,*ie**dereen,*ie**d**e****r*e*en,0.64,3,1,0,0.42,11,0,0
S01C002V1_3+4LG,schoenenwinkel,CORRECTLY_READ,schoenen winkelschroenen,winkelschroenen winkel,0,0,schoenen*winkel*********,******sch*oenen*winkel,0.58,10,0,0,0.64,8,0,0
S01C002V1_3+4LG,knutselen,28,winkel ullen nislen,ullen nislen ophangen,1,0,k*n****utse*****len,****k*nutse*******len,0.47,10,0,0,0.43,12,0,0
S01C002V1_3+4LG,ophangen,CORRECTLY_READ,ophangen,ophangen verjaardag,0,0,ophangen,ophangen***********,1.0,0,0,0,0.42,11,0,0
S01C002V1_3+4LG,verjaardag,CORRECTLY_READ,ophangen verjaardag,verjaardag sp okus boek,0,0,*********verjaardag,verjaardag*************,0.53,9,0,0,0.43,13,0,0
S01C002V1_3+4LG,sprookjesboek,CORRECTLY_READ,verjaardag sp okus boek sprookjes boek,sprookjes boek,0,0,***********sp*************rookjes*boek,sprookjes*boek,0.34,25,0,0,0.93,1,0,0
S01C002V1_3+4LG,tandenborstel,CORRECTLY_READ,dan doeen boedsten borstel,dan doeen boedsten borstel tandan bogstel,0,0,tan*d*e*n*bo*********rstel,ta******n****d**en*bor***************stel,0.5,13,0,0,0.32,28,0,0
